Data,VelocidadeMediaVento
2016-10-23,3.8666669999999996
2016-10-24,4.033333
2016-10-25,4.433333
2016-10-26,5.1
2016-10-27,4.966667
2016-10-28,3.5333330000000003
2016-10-29,4.8
2016-10-30,3.8666669999999996
2016-10-31,5.0
2016-11-01,4.066667
2016-11-02,4.133333
2016-11-03,5.733333
2016-11-04,4.2
2016-11-05,3.6
2016-11-06,4.433333
2016-11-07,3.8666669999999996
2016-11-08,2.4666669999999997
2016-11-09,2.5333330000000003
2016-11-10,2.5
2016-11-11,3.2
2016-11-12,1.7333330000000002
2016-11-13,2.3
2016-11-14,2.433333
2016-11-15,2.1333330000000004
2016-11-16,2.6
2016-11-17,1.05
2016-11-18,1.433333
2016-11-19,1.6
2016-11-20,1.6
2016-11-21,2.2
2016-11-22,3.0
2016-11-23,2.166667
2016-11-24,2.8666669999999996
2016-11-25,4.433333
2016-11-26,2.6333330000000004
2016-11-27,3.3
2016-11-28,2.8666669999999996
2016-11-29,2.9
2016-11-30,3.4
2016-12-01,3.1333330000000004
2016-12-02,3.8666669999999996
2016-12-03,2.4666669999999997
2016-12-04,3.3
2016-12-05,3.3
2016-12-06,2.5333330000000003
2016-12-07,2.0
